name,xg_total,goals,xg90,shots,pos_fs,apps
Carlos Vinícius,5.16,0,0.71,7,FW,8
Danilo Oliveira,4.01,5,0.68,11,MF,6
Jonathan Calleri,3.64,4,0.51,6,FW,8
Kevin Stiven Viveros Rodallega,3.63,5,0.52,21,FW,8
Luciano Acosta,3.14,3,0.47,17,MF,8
José Manuel López,3.11,3,0.45,16,FW,8
Allan Andrade Elias,3.03,3,0.46,13,MF,8
Agustín Canobbio Graviz,2.97,3,0.47,15,MF,7
John Kennedy,2.92,2,0.52,16,FW,7
Vitor Roque,2.91,3,0.98,12,FW,6
Andres Gomez,2.85,0,0.38,33,MF,8
Alef Mangueira Severino Pereira,2.81,2,0.39,20,FW,8
Pedro Rocha Neves,2.79,2,0.39,22,FW,8
Gabriel Barbosa Almeida,2.61,3,0.69,12,FW,4
John Stiven Mendoza Valencia,2.58,3,0.42,10,FW,8
Matheus Fellipe Costa Pereira,2.47,2,0.35,18,FW,7
Breno Lopes,2.46,3,0.43,7,FW,8
Neymar,2.46,3,0.83,8,FW,3
Cauan Lucas Barros da Luz,2.43,3,0.52,10,MF,6
Walter David Clar Fritz,2.38,3,0.37,6,MF,7
Luciano da Rocha Neves,2.34,2,0.44,13,FW,7
Vitor Frezarin Bueno,2.32,2,0.39,12,MF,7
Nathan Otávio Ribeiro,2.26,0,0.75,12,DF,4
Luiz Henrique Soares Firmino,2.24,2,0.33,13,MF,7
Johan Stiven Carbonero Balanta,2.21,1,0.39,22,FW,8
