team,team_source,xg_against,goals_against
Vasco,CR Vasco da Gama,9.12,
Internacional,SC Internacional,8.88,
Mirassol,Mirassol Futebol Clube,9.73,
Bragantino,Clube Atletico Bragantino,10.0,
Fluminense,Fluminense FC,10.24,
Flamengo,CR Flamengo,7.0,
Palmeiras,SE Palmeiras,11.6,
Remo,Clube do Remo,12.08,
Gremio,Gremio FB Porto Alegrense,10.32,
Cruzeiro,Cruzeiro EC,9.92,
Bahia,EC Bahia,10.92,
Atletico-MG,CA Mineiro,13.36,
Santos,Santos FC Sao Paulo,10.88,
Atletico-PR,CA Paranaense,9.84,
Vitoria,EC Vitoria,9.8,
Sao Paulo,Sao Paulo FC,8.56,
Chapecoense,Chapecoense AF,13.16,
Corinthians,SC Corinthians Paulista,8.8,
Coritiba,Coritiba FBC,14.24,
Botafogo,Botafogo FR,11.55,
